order_date,region,net_revenue,profit
2022-01-16,North,88420.0,28877.47
2022-01-16,South,209198.5,68367.70999999999
2022-01-16,West,197824.3,60083.04
2022-01-17,East,232181.6,81289.78
2022-01-17,North,197525.35,62374.63
2022-01-17,South,184633.75,54064.13
2022-01-17,West,172450.65,54778.03
2022-01-18,East,111045.1,37934.31
2022-01-18,North,214400.7,67734.17
2022-01-18,South,160350.95,55449.59
2022-01-18,West,193471.05,61470.42
2022-01-19,East,168655.6,54487.32
2022-01-19,North,239134.65,82364.73
2022-01-19,South,189652.8,61854.409999999996
2022-01-19,West,183313.55,61115.79
2022-01-20,East,193512.94999999998,62271.69
2022-01-20,North,70801.75,22038.51
2022-01-20,South,85044.1,28697.77
2022-01-20,West,196603.55,67940.15
2022-01-21,East,196216.55,62120.86
2022-01-21,North,103947.55,25483.0
2022-01-21,South,227483.6,65247.729999999996
2022-01-21,West,194305.7,69084.52
2022-01-22,East,241440.7,84281.75
2022-01-22,North,118331.95000000001,40280.130000000005
2022-01-22,South,101200.09999999999,34676.01
2022-01-22,West,212206.15,72294.87000000001
2022-01-23,East,77545.2,26106.43
2022-01-23,North,168149.05,55325.32
2022-01-23,South,167741.15,59210.78
2022-01-23,West,181132.1,61427.090000000004
2022-01-24,East,134383.0,43246.91
2022-01-24,North,222046.15000000002,77836.83
2022-01-24,South,127362.9,42324.18
2022-01-24,West,145585.4,43571.13
2022-01-25,East,224602.3,77602.51
2022-01-25,North,131613.05,42446.01
2022-01-25,South,123454.6,40282.89
2022-01-25,West,220422.4,73065.32
2022-01-26,East,317524.15,102612.88
2022-01-26,North,169020.2,59995.63
2022-01-26,South,134299.25,43550.06
2022-01-26,West,128509.9,39861.79
2022-01-27,East,222834.5,72164.58
2022-01-27,North,236709.8,82799.18
2022-01-27,South,162137.25,56085.07
2022-01-27,West,131507.0,36993.71
2022-01-28,East,73623.6,26456.54
2022-01-28,North,122221.54999999999,34728.37
2022-01-28,South,151208.55,49823.229999999996
2022-01-28,West,231155.4,78974.72
2022-01-29,East,199752.4,70296.84999999999
2022-01-29,North,224009.65,75301.14
2022-01-29,South,161934.4,58079.68
2022-01-29,West,180543.2,56968.13
2022-01-30,East,91213.40000000001,26332.24
2022-01-30,North,290134.55,95243.06
2022-01-30,South,185694.5,65603.13
2022-01-30,West,152369.75,49519.979999999996
2022-01-31,East,241212.8,69174.77
2022-01-31,North,159755.69999999998,48765.1
2022-01-31,South,156744.55,51549.23
2022-01-31,West,229217.55,72809.13
2022-02-01,East,118596.75,35334.78
2022-02-01,North,235346.65,79304.37
2022-02-01,South,171819.45,52449.77
2022-02-01,West,229253.05,77889.01
2022-02-02,East,149952.3,43391.01
2022-02-02,North,124189.2,38589.19
2022-02-02,South,136337.85,47533.4
2022-02-02,West,94612.95,24603.02
2022-02-03,East,117498.4,39404.119999999995
2022-02-03,North,122769.7,48880.630000000005
2022-02-03,South,154190.2,49330.71
2022-02-03,West,162457.4,58407.47
2022-02-04,East,146185.6,45414.89
2022-02-04,North,86876.3,25779.57
2022-02-04,South,158408.45,54743.58
2022-02-04,West,207634.1,69734.93
2022-02-05,East,201079.7,69026.02
2022-02-05,North,129731.5,42639.5
2022-02-05,South,224282.95,72445.95
2022-02-05,West,187103.8,67774.79000000001
2022-02-06,East,145647.8,50067.009999999995
2022-02-06,North,105883.95,31751.34
2022-02-06,South,187000.6,59388.24
2022-02-06,West,183988.25,57937.51
2022-02-07,East,149968.95,47981.5
2022-02-07,North,199573.25,60523.69
2022-02-07,South,183224.9,58670.15
2022-02-07,West,149699.9,47139.2
2022-02-08,East,146479.1,53024.53
2022-02-08,North,204150.65,64377.85
2022-02-08,South,234202.55,87628.39
2022-02-08,West,75322.5,22546.82
2022-02-09,East,164697.2,55806.130000000005
2022-02-09,North,165075.8,49587.25
2022-02-09,South,111984.15,37045.729999999996
2022-02-09,West,124577.85,37940.350000000006
2022-02-10,East,123280.05,35792.18
2022-02-10,North,93963.5,36029.64
2022-02-10,South,201983.35,61193.84
2022-02-10,West,33907.9,10766.060000000001
2022-02-11,East,254217.4,83833.13
2022-02-11,North,123350.55,36095.56
2022-02-11,South,205299.45,67889.79000000001
2022-02-11,West,108479.2,38062.58
2022-02-12,East,272257.15,93509.89
2022-02-12,North,121589.95,34713.76
2022-02-12,South,122969.2,39902.85
2022-02-12,West,193650.2,60012.16
2022-02-13,East,132772.4,46919.01
2022-02-13,North,167158.3,56276.57
2022-02-13,South,140517.05,44614.3
2022-02-13,West,231987.4,81507.33
2022-02-14,East,81971.35,25904.64
2022-02-14,North,176681.5,54862.85
2022-02-14,South,102286.85,30380.29
2022-02-14,West,138754.15,52063.84
2022-02-15,East,217151.5,72235.19
2022-02-15,North,135232.9,49133.71
2022-02-15,South,140352.5,48714.44
2022-02-15,West,133236.4,37192.799999999996
2022-02-16,East,181046.6,57321.76
2022-02-16,North,246357.1,75970.58
2022-02-16,South,231261.0,89516.94
2022-02-16,West,111536.9,35857.25
2022-02-17,East,167134.85,50088.17
2022-02-17,North,154128.65,48849.81
2022-02-17,South,117545.95000000001,37913.84
2022-02-17,West,110054.9,35942.29
2022-02-18,East,72241.75,24838.21
2022-02-18,North,294700.1,103099.2
2022-02-18,South,102907.7,30181.510000000002
2022-02-18,West,155050.25,46125.12
2022-02-19,East,113817.0,46781.37
2022-02-19,North,224935.9,75725.32
2022-02-19,South,173102.65,58880.51
2022-02-19,West,75410.0,27253.489999999998
2022-02-20,East,141125.0,51488.09
2022-02-20,North,119102.45,36221.92
2022-02-20,South,125823.75,37367.84
2022-02-20,West,139170.65000000002,47432.92
2022-02-21,East,169136.85,50736.66
2022-02-21,North,313974.65,98720.06
2022-02-21,South,168325.1,51924.45
2022-02-21,West,254436.3,82210.03
2022-02-22,East,147530.5,45613.81
2022-02-22,North,116553.7,31609.32
2022-02-22,South,225353.65,76104.05
2022-02-22,West,174520.35,69774.9
2022-02-23,East,102247.9,30914.21
2022-02-23,North,155856.2,51410.45
2022-02-23,South,167261.2,54536.45
2022-02-23,West,97949.85,31865.48
2022-02-24,East,292446.9,90102.7
2022-02-24,North,167832.05,60706.88
2022-02-24,South,227936.95,75749.93
2022-02-24,West,152134.45,41247.17
2022-02-25,East,138874.05,46787.59
2022-02-25,North,68397.0,22673.6
2022-02-25,South,269422.9,87844.58
2022-02-25,West,126572.40000000001,41184.19
2022-02-26,East,146231.8,50016.13
2022-02-26,North,287296.25,102302.44
2022-02-26,South,88061.2,29033.15
2022-02-26,West,115739.15,36151.270000000004
2022-02-27,East,112703.1,38580.36
2022-02-27,North,76168.15,22130.78
2022-02-27,South,150198.05,49452.98
2022-02-27,West,195902.1,54241.39
2022-02-28,East,149150.1,49620.729999999996
2022-02-28,North,141793.3,44720.95
2022-02-28,South,183959.7,61402.33
2022-02-28,West,169298.35,49995.39
2022-03-01,East,130991.7,38640.46
2022-03-01,North,227763.15,77646.19
2022-03-01,South,245018.95,78504.28
2022-03-01,West,41673.6,11381.14
2022-03-02,East,159140.5,49715.84
2022-03-02,North,93966.15,24693.21
2022-03-02,South,59729.45,19046.07
2022-03-02,West,187825.4,64005.36
2022-03-03,East,149271.45,47718.92
2022-03-03,North,149219.55,47673.05
2022-03-03,South,117508.59999999999,36198.11
2022-03-03,West,213955.25,74937.65000000001
2022-03-04,East,152914.55000000002,52042.46
2022-03-04,North,135853.85,48770.25
2022-03-04,South,174538.2,57855.12
2022-03-04,West,142028.1,45841.840000000004
2022-03-05,East,56965.25,18170.010000000002
2022-03-05,North,118797.55,31881.53
2022-03-05,South,145746.2,45532.36
2022-03-05,West,118841.5,42281.55
2022-03-06,East,171710.25,56987.909999999996
2022-03-06,North,178865.2,58958.979999999996
2022-03-06,South,179817.35,54711.590000000004
2022-03-06,West,189662.55,61631.02
2022-03-07,East,189241.35,66834.37
2022-03-07,North,149324.4,41541.17
2022-03-07,South,250995.65,90450.25
2022-03-07,West,254500.6,79485.94
2022-03-08,East,38445.6,13679.35
2022-03-08,North,146949.44999999998,45780.37
2022-03-08,South,121512.65,37331.6
2022-03-08,West,182165.35,65227.27
2022-03-09,East,180188.05,52318.47
2022-03-09,North,145432.75,45821.42
2022-03-09,South,161464.19999999998,55578.28
2022-03-09,West,145483.0,49925.94
2022-03-10,East,139516.5,44516.07
2022-03-10,North,184915.2,60356.91
2022-03-10,South,192186.0,65213.57
2022-03-10,West,119479.5,37071.05
2022-03-11,East,180587.0,49881.77
2022-03-11,North,176217.2,54201.14
2022-03-11,South,169251.35,56766.909999999996
2022-03-11,West,75884.1,30254.96
2022-03-12,East,231135.75,74292.56
2022-03-12,North,88305.6,28033.26
2022-03-12,South,187000.5,63937.659999999996
2022-03-12,West,176749.85,54959.86
2022-03-13,East,90498.85,32568.85
2022-03-13,North,246376.55000000002,86105.94
2022-03-13,South,133152.05,42198.79
2022-03-13,West,187661.2,52235.52
2022-03-14,East,168544.3,54015.88
2022-03-14,North,288428.7,88401.74
2022-03-14,South,131489.15,39710.45
2022-03-14,West,97596.15,34181.59
2022-03-15,East,191237.7,53975.46
2022-03-15,North,172303.1,54222.27
2022-03-15,South,195151.15,61178.270000000004
2022-03-15,West,186397.8,60608.25
2022-03-16,East,201992.15,62350.6
2022-03-16,North,126894.20000000001,46930.990000000005
2022-03-16,South,224349.8,77501.84999999999
2022-03-16,West,123888.1,40346.979999999996
2022-03-17,East,89799.4,29835.81
2022-03-17,North,63443.25,19547.440000000002
2022-03-17,South,244563.25,76554.22
2022-03-17,West,214562.55,70473.97
2022-03-18,East,200197.75,69462.39
2022-03-18,North,152584.80000000002,48966.55
2022-03-18,South,167162.25,53486.25
2022-03-18,West,188969.7,52280.7
2022-03-19,East,184769.5,58715.94
2022-03-19,North,51487.7,15650.7
2022-03-19,South,178289.85,55125.979999999996
2022-03-19,West,169064.1,55362.2
2022-03-20,East,210224.45,73512.41
2022-03-20,North,137124.25,43229.740000000005
2022-03-20,South,132178.55,43113.18
2022-03-20,West,221833.85,72028.93
2022-03-21,East,159165.4,54265.13
2022-03-21,North,141882.1,43929.08
2022-03-21,South,242519.0,80431.77
2022-03-21,West,126326.75,37905.56
2022-03-22,East,254733.85,74964.13
2022-03-22,North,152134.5,46898.38
2022-03-22,South,151140.4,55652.99
2022-03-22,West,96203.35,31729.780000000002
2022-03-23,East,116024.1,33432.97
2022-03-23,North,134776.55,37934.64
2022-03-23,South,139664.75,41048.42
2022-03-23,West,282249.8,88368.1
2022-03-24,East,108156.5,38382.340000000004
2022-03-24,North,264259.9,86533.4
2022-03-24,South,218543.3,69425.78
2022-03-24,West,153428.55,54073.170000000006
2022-03-25,East,143447.7,42771.22
2022-03-25,North,178713.45,60242.05
2022-03-25,South,202351.35,59254.75
2022-03-25,West,87769.3,25132.64
2022-03-26,East,213834.7,76459.2
2022-03-26,North,135716.6,49227.62
2022-03-26,South,92632.55,30368.71
2022-03-26,West,207094.6,63481.33
2022-03-27,East,206822.3,63815.13
2022-03-27,North,195965.15,60522.74
2022-03-27,South,67253.3,22073.43
2022-03-27,West,182767.95,59933.18
2022-03-28,East,254852.45,86824.7
2022-03-28,North,246195.25,73456.39
2022-03-28,South,174515.25,55247.82
2022-03-28,West,128188.35,43402.05
2022-03-29,East,92598.29999999999,26763.84
2022-03-29,North,133532.5,47493.13
2022-03-29,South,151346.6,53404.21
2022-03-29,West,193951.19999999998,70969.21
2022-03-30,East,294892.9,110825.85
2022-03-30,North,167324.4,59906.17
2022-03-30,South,227307.8,76070.43
2022-03-30,West,140869.05,46248.33
2022-03-31,East,132014.1,46726.21
2022-03-31,North,170730.15,59500.93
2022-03-31,South,223042.65,64520.43
2022-03-31,West,247127.1,72488.73
2022-04-01,East,50487.6,17956.88
2022-04-01,North,122858.1,38029.8
2022-04-01,South,201207.7,69399.46
2022-04-01,West,187058.25,53247.94
2022-04-02,East,122558.3,38439.85
2022-04-02,North,228255.45,78888.20999999999
2022-04-02,South,110270.95,37872.03
2022-04-02,West,50946.2,15672.18
2022-04-03,East,222614.25,72105.37
2022-04-03,North,222459.65000000002,79219.54999999999
2022-04-03,South,157865.85,45979.3
2022-04-03,West,235488.7,82416.1
2022-04-04,East,161500.25,58719.159999999996
2022-04-04,North,106907.65,29884.18
2022-04-04,South,84253.4,28761.64
2022-04-04,West,67563.45,24891.79
2022-04-05,East,116547.25,36268.32
2022-04-05,North,183895.35,63067.75
2022-04-05,South,147337.6,51663.88
2022-04-05,West,213851.45,73504.69
2022-04-06,East,105698.45,31501.58
2022-04-06,North,176982.9,53798.46
2022-04-06,South,165417.4,59617.32
2022-04-06,West,118604.8,35617.71
2022-04-07,East,217715.55,73585.35
2022-04-07,North,85625.8,21980.37
2022-04-07,South,53614.55,19061.02
2022-04-07,West,92913.05,31125.13
2022-04-08,East,129807.55,41353.58
2022-04-08,North,180811.9,59265.3
2022-04-08,South,106479.3,30218.34
2022-04-08,West,67108.59999999999,22736.86
2022-04-09,East,127229.85,39660.11
2022-04-09,North,55615.649999999994,18578.8
2022-04-09,South,162660.65,51000.82
2022-04-09,West,130069.7,47450.45
2022-04-10,East,127058.25,42953.36
2022-04-10,North,76807.35,22026.82
2022-04-10,South,67081.5,20635.77
2022-04-10,West,169521.1,47099.130000000005
2022-04-11,East,154964.25,57039.41
2022-04-11,North,165943.55,50535.18
2022-04-11,South,100588.4,27923.730000000003
2022-04-11,West,153975.3,49588.49
2022-04-12,East,144868.85,46766.79
2022-04-12,North,223687.15,77487.06
2022-04-12,South,135596.5,41320.46
2022-04-12,West,160086.3,53052.21
2022-04-13,East,119478.1,40226.84
2022-04-13,North,154609.5,51181.24
2022-04-13,South,228909.45,76203.68
2022-04-13,West,149666.15,43345.69
2022-04-14,East,253644.6,77077.83
2022-04-14,North,132858.8,44102.119999999995
2022-04-14,South,125950.95,42721.479999999996
2022-04-14,West,246528.2,80302.73
2022-04-15,East,150381.75,51563.01
2022-04-15,North,242403.94999999998,75681.5
2022-04-15,South,107014.2,36176.33
2022-04-15,West,256051.2,85511.62
2022-04-16,East,162134.95,51262.03
2022-04-16,North,152777.25,51279.9
2022-04-16,South,219596.3,69743.58
2022-04-16,West,261782.5,78157.0
2022-04-17,East,290711.95,91433.99
2022-04-17,North,173304.55,57505.28
2022-04-17,South,267179.35,83616.95
2022-04-17,West,104335.05,34404.17
2022-04-18,East,200904.9,63740.310000000005
2022-04-18,North,126686.0,38230.53
2022-04-18,South,46117.65,12636.65
2022-04-18,West,92386.05,29877.42
2022-04-19,East,249429.95,90904.02
2022-04-19,North,66881.2,22846.739999999998
2022-04-19,South,107870.2,35907.71
2022-04-19,West,252548.65,91810.52
2022-04-20,East,160640.4,56399.2
2022-04-20,North,131404.4,39280.96
2022-04-20,South,137505.15,45584.61
2022-04-20,West,102795.20000000001,40696.31
2022-04-21,East,154335.0,53049.77
2022-04-21,North,285217.45,88219.21
2022-04-21,South,122560.5,43312.7
2022-04-21,West,148113.19999999998,40388.71
2022-04-22,East,158911.5,48168.27
2022-04-22,North,216355.85,75442.86
2022-04-22,South,200772.55000000002,55730.3
2022-04-22,West,165889.6,49248.64
2022-04-23,East,183067.8,60868.29
2022-04-23,North,211069.35,67305.93000000001
2022-04-23,South,197531.05,67963.66
2022-04-23,West,130468.4,44770.920000000006
2022-04-24,East,164841.4,55910.38
2022-04-24,North,111704.45,38565.71
2022-04-24,South,187267.2,61228.57
2022-04-24,West,141138.9,44769.03
2022-04-25,East,89377.40000000001,23864.39
2022-04-25,North,200943.7,63276.490000000005
2022-04-25,South,195696.3,59889.88
2022-04-25,West,208938.85,63230.26
2022-04-26,East,102252.8,32761.34
2022-04-26,North,196377.2,64101.01
2022-04-26,South,160419.25,56929.990000000005
2022-04-26,West,46435.75,12974.39
2022-04-27,East,249739.2,77435.21
2022-04-27,North,261141.15,77205.31
2022-04-27,South,168117.1,49046.62
2022-04-27,West,103519.7,37159.69
2022-04-28,East,208580.25,73263.25
2022-04-28,North,175744.75,63224.72
2022-04-28,South,272748.39999999997,86720.62
2022-04-28,West,146770.55,43712.520000000004
2022-04-29,East,222727.45,76124.0
2022-04-29,North,217876.1,75530.73
2022-04-29,South,96441.05,29175.45
2022-04-29,West,171038.40000000002,60719.04
2022-04-30,East,72869.3,19173.94
2022-04-30,North,155787.9,46693.49
2022-04-30,South,91061.75,27384.440000000002
2022-04-30,West,155153.95,49394.47
2022-05-01,East,96613.95,32817.64
2022-05-01,North,161842.5,52542.85
2022-05-01,South,95809.85,32487.07
2022-05-01,West,73912.65,23339.19
2022-05-02,East,62012.75,19925.88
2022-05-02,North,94016.35,29903.96
2022-05-02,South,152316.3,43849.08
2022-05-02,West,240533.35,80912.44
2022-05-03,East,238432.35,73857.65
2022-05-03,North,60088.950000000004,18824.8
2022-05-03,South,134338.3,49812.86
2022-05-03,West,168863.15,50942.94
2022-05-04,East,199462.1,73568.35
2022-05-04,North,126023.55,35809.55
2022-05-04,South,186380.65,61936.39
2022-05-04,West,150051.8,53019.83
2022-05-05,East,121611.6,47001.22
2022-05-05,North,218319.75,70712.87
2022-05-05,South,78946.45,20607.73
2022-05-05,West,107080.45,35223.1
2022-05-06,East,143786.75,42372.6
2022-05-06,North,205040.8,72738.81
2022-05-06,South,193046.5,63716.94
2022-05-06,West,170552.65,59326.19
2022-05-07,East,161938.8,56356.83
2022-05-07,North,151808.19999999998,49623.490000000005
2022-05-07,South,104482.4,34606.810000000005
2022-05-07,West,170884.75,63156.39
2022-05-08,East,139581.15,48456.58
2022-05-08,North,245777.05000000002,81162.92
2022-05-08,South,294762.1,84266.88
2022-05-08,West,104767.2,35025.87
2022-05-09,East,89496.9,30605.71
2022-05-09,North,251078.1,78469.99
2022-05-09,South,156580.25,55666.18
2022-05-09,West,260000.35,84464.75
2022-05-10,East,117630.25,36114.06
2022-05-10,North,176173.7,61817.54
2022-05-10,South,121319.85,40276.59
2022-05-10,West,235331.5,79802.86
2022-05-11,East,167845.45,48237.76
2022-05-11,North,209853.4,64505.55
2022-05-11,South,157356.9,50947.68
2022-05-11,West,109245.45,32786.57
2022-05-12,East,151294.25,49574.32
2022-05-12,North,167778.45,50753.96
2022-05-12,South,227088.55,77559.72
2022-05-12,West,198670.05,63516.71
2022-05-13,East,137312.1,47053.39
2022-05-13,North,229910.25,76691.84
2022-05-13,South,199516.0,63738.450000000004
2022-05-13,West,269579.6,85117.6
2022-05-14,East,121350.4,40326.62
2022-05-14,North,185072.25,59197.93
2022-05-14,South,30270.55,10781.8
2022-05-14,West,224369.5,77833.47
2022-05-15,East,92060.3,29810.14
2022-05-15,North,130629.05,39727.86
2022-05-15,South,134779.25,46322.18
2022-05-15,West,164172.94999999998,56439.92
2022-05-16,East,123149.35,41709.9
2022-05-16,North,265142.45,85836.7
2022-05-16,South,134280.55,47928.46
2022-05-16,West,53026.4,21078.050000000003
2022-05-17,East,154746.5,51894.59
2022-05-17,North,143656.5,46881.13
2022-05-17,South,135551.15,44534.07
2022-05-17,West,219008.4,75202.44
2022-05-18,East,122646.6,43532.23
2022-05-18,North,181914.95,59001.52
2022-05-18,South,172118.3,55371.4
2022-05-18,West,111714.90000000001,37326.38
2022-05-19,East,50409.95,12712.36
2022-05-19,North,148788.6,51923.92
2022-05-19,South,147149.0,45673.05
2022-05-19,West,120151.8,42951.37
2022-05-20,East,151012.0,48011.05
2022-05-20,North,227164.65,69667.69
2022-05-20,South,214928.25,71737.5
2022-05-20,West,165883.9,62331.04
2022-05-21,East,140631.1,42934.39
2022-05-21,North,211271.85,68313.64
2022-05-21,South,190195.75,65604.48
2022-05-21,West,216663.6,73659.18000000001
2022-05-22,East,110644.75,32508.059999999998
2022-05-22,North,270472.8,92976.2
2022-05-22,South,82181.59999999999,26314.14
2022-05-22,West,190697.0,58098.52
2022-05-23,East,152506.85,59428.99
2022-05-23,North,217216.15,77191.13
2022-05-23,South,172628.6,68163.08
2022-05-23,West,207924.80000000002,68826.45
2022-05-24,East,269280.25,97368.6
2022-05-24,North,87708.85,34831.77
2022-05-24,South,123141.65,47747.8
2022-05-24,West,141411.9,40567.08
2022-05-25,East,195004.65,67012.37
2022-05-25,North,122596.5,39966.630000000005
2022-05-25,South,124085.35,48451.630000000005
2022-05-25,West,132823.05,46349.4
2022-05-26,East,173588.2,54934.84
2022-05-26,North,255743.9,80707.98
2022-05-26,South,178464.8,58522.36
2022-05-26,West,188537.35,57925.07
2022-05-27,East,186879.95,64106.21
2022-05-27,North,143073.1,45496.9
2022-05-27,South,163640.15,58335.66
2022-05-27,West,137246.5,47326.96
2022-05-28,East,113410.7,36297.88
2022-05-28,North,128507.8,48940.0
2022-05-28,South,128616.9,47074.22
2022-05-28,West,116792.25,39176.58
2022-05-29,East,82153.65,24540.63
2022-05-29,North,139883.5,50193.58
2022-05-29,South,259808.0,86450.04000000001
2022-05-29,West,233364.25,67908.91
2022-05-30,East,108492.45,29893.27
2022-05-30,North,165947.7,51731.16
2022-05-30,South,102677.59999999999,35933.44
2022-05-30,West,213017.2,71745.35
2022-05-31,East,102030.3,28628.34
2022-05-31,North,172704.05,61191.770000000004
2022-05-31,South,209524.55,65822.36
2022-05-31,West,147955.5,48526.96
2022-06-01,East,68584.4,19328.86
2022-06-01,North,185357.4,61455.73
2022-06-01,South,68915.4,20329.649999999998
2022-06-01,West,146468.94999999998,46964.72
2022-06-02,East,138755.9,46348.25
2022-06-02,North,179843.4,65323.15
2022-06-02,South,144540.6,44221.88
2022-06-02,West,139964.8,46124.57
2022-06-03,East,138619.15,48749.44
2022-06-03,North,158656.75,62550.7
2022-06-03,South,287767.4,97877.97
2022-06-03,West,216416.45,73325.37
2022-06-04,East,167722.85,67391.91
2022-06-04,North,214500.75,77605.17
2022-06-04,South,153931.05,49891.7
2022-06-04,West,242189.5,81776.25
2022-06-05,East,271106.35,79896.42
2022-06-05,North,172113.05,53201.89
2022-06-05,South,235075.55,72370.52
2022-06-05,West,112226.25,40530.65
2022-06-06,East,257319.1,85264.91
2022-06-06,North,135336.2,42484.47
2022-06-06,South,95133.1,30037.7
2022-06-06,West,209219.6,66374.74
2022-06-07,East,176566.3,66460.19
2022-06-07,North,72680.2,21764.67
2022-06-07,South,252329.8,83997.45
2022-06-07,West,95920.8,29956.84
2022-06-08,East,90854.5,29168.68
2022-06-08,North,128927.4,40544.99
2022-06-08,South,59981.6,19931.72
2022-06-08,West,85266.75,31331.24
2022-06-09,East,123649.29999999999,44562.92
2022-06-09,North,186259.85,64658.630000000005
2022-06-09,South,190192.2,66730.22
2022-06-09,West,156016.0,48440.659999999996
2022-06-10,East,165949.45,58250.77
2022-06-10,North,298217.7,99955.29000000001
2022-06-10,South,151919.55,50323.81
2022-06-10,West,147786.1,51664.36
2022-06-11,East,118986.05,37217.25
2022-06-11,North,51953.399999999994,18630.29
2022-06-11,South,121995.2,38309.85
2022-06-11,West,216929.6,75836.67
2022-06-12,East,169652.6,51120.82
2022-06-12,North,92663.45,27036.510000000002
2022-06-12,South,111506.45,35960.9
2022-06-12,West,119126.0,41935.66
2022-06-13,East,82615.75,25145.51
2022-06-13,North,92274.65,30768.15
2022-06-13,South,125984.59999999999,38432.270000000004
2022-06-13,West,241599.2,87961.24
2022-06-14,East,118617.85,38807.51
2022-06-14,North,277406.64999999997,90356.37
2022-06-14,South,145665.5,44272.01
2022-06-14,West,92459.6,29590.170000000002
2022-06-15,East,136472.4,47600.74
2022-06-15,North,80030.15,26120.03
2022-06-15,South,251314.6,87575.55
2022-06-15,West,236793.1,73436.8
2022-06-16,East,207656.3,77676.94
2022-06-16,North,126350.8,35795.729999999996
2022-06-16,South,122002.5,35491.15
2022-06-16,West,210651.55,63657.6
2022-06-17,East,152894.25,44719.98
2022-06-17,North,112531.1,42999.68
2022-06-17,South,119418.20000000001,37274.51
2022-06-17,West,156975.05,56544.810000000005
2022-06-18,East,90769.15,31832.760000000002
2022-06-18,North,208058.6,68270.39
2022-06-18,South,210658.8,70711.17
2022-06-18,West,168614.7,53368.69
2022-06-19,East,152810.25,53197.07
2022-06-19,North,89005.3,32338.37
2022-06-19,South,155991.8,52600.0
2022-06-19,West,94791.75,32920.020000000004
2022-06-20,East,139866.0,47071.9
2022-06-20,North,151597.65,53917.72
2022-06-20,South,179856.05,52033.41
2022-06-20,West,145016.0,41010.15
2022-06-21,East,173770.55,60139.95
2022-06-21,North,121888.54999999999,32666.21
2022-06-21,South,204271.1,60293.49
2022-06-21,West,164047.5,49886.07
2022-06-22,East,154868.05,55728.2
2022-06-22,North,140157.6,48417.28
2022-06-22,South,142693.1,38466.93
2022-06-22,West,210987.3,64116.6
2022-06-23,East,176801.45,50445.65
2022-06-23,North,172514.4,54587.299999999996
2022-06-23,South,108074.40000000001,38525.22
2022-06-23,West,85808.4,23912.690000000002
2022-06-24,East,176100.05,46283.63
2022-06-24,North,142358.25,46174.64
2022-06-24,South,228202.8,74168.72
2022-06-24,West,127196.55,42077.39
2022-06-25,East,74508.84999999999,23938.84
2022-06-25,North,166225.1,51007.47
2022-06-25,South,220360.1,65076.97
2022-06-25,West,112129.34999999999,33210.62
2022-06-26,East,192604.3,65947.07
2022-06-26,North,147540.95,51149.63
2022-06-26,South,111287.6,40723.0
2022-06-26,West,208648.75,69160.05
2022-06-27,East,94444.2,38650.479999999996
2022-06-27,North,175962.4,52747.32
2022-06-27,South,82960.75,26881.2
2022-06-27,West,222493.05,70130.14
2022-06-28,East,217429.5,64952.8
